name,type,number of curves,axis names,guide,minor axes,cutoffs,labels,auc,flag
00_05_1234_04.gif,comparison,2,sens/spec,no,no,points,none,no,minimalist
05_10_4889_02.gif,description,1,sens/spec,no,no,none,none,no,extreme minimalist
1-s2.0-S0002937814001264-gr4.jpg,3d pie,0,none,no,no,none,no,no,comedy
1-s2.0-S000349751301432X-gr1.jpg,comparison,2,sens/spec,yes,no,none,direct,yes,stacked
1-s2.0-S0016508513000991-gr2.jpg,comparison,4,fpr/tpr,no,no,none,legend,no,messed up scales
1-s2.0-S0022534706010184-gr1.jpg,description,3,sens/spec,yes,no,table,title,yes,has cutoffs
1-s2.0-S0022534708009440-gr1.jpg,comparison,4,sens/spec,yes,no,none,legend,no,
1-s2.0-S0022534708009440-gr2.jpg,comparison,4,sens/spec,yes,no,none,legend,no,
1-s2.0-S0022534711002254-gr2.jpg,comparison,4,sens/spec,yes,yes,none,legend,yes,table disguised as plot
1-s2.0-S0022534711002254-gr3.jpg,description,2,sens/spec,yes,yes,table,legend,yes,embedded table
15585733.tiff,comparison,4,sens/spec,no,no,none,legend,no,extra axis
15585733b.tiff,comparison,3,sens/spec,no,no,none,legend,no,extra axis
15705978.tiff,comparison,6,sens/spec,yes,yes,none,legend,no,death by steps
15726544.tiff,description,1,sens/spec,no,no,direct label,none,no,
15726544b.tiff,description,1,sens/spec,no,no,direct label,none,no,
15910949.jpg,description,2,sens/spec,no,no,direct label,legend,no,almost good
15FF1.jpg,description,1,sens/spec,no,no,none,title,no,minimalist
16169887.tiff,comparison,2,sens/spec,no,no,points,direct,yes,
16280753.tiff,comparison,5,none,no,no,none,direct,no,spaghetti
16301386.tiff,comparison,2,sens/spec,no,no,none,legend,yes,cross-figure comparison
16357394.tiff,comparison,2,fpr/tpr,no,no,points,none,no,minimalist
16357394b.tiff,comparison,2,fpr/tpr,no,no,points,none,no,minimalist
16714457.tiff,comparison,2,sens/spec,no,no,none,legend,yes,auc unlabeled
16714457b.tiff,comparison,7,sens/spec,no,no,none,legend,yes,auc unlabeled
16890655.jpg,description,1,sens/spec,yes,no,table,title,yes,cutoff described but not indicated
17114550.tiff,comparison,2,fpr/tpr,no,no,points,none,no,minimalist
17392300.tiff,description,1,sens/spec,yes,yes,points,none,yes,
comedy1.tiff,3d bar,,,,,,,,comedy
comedy2.tiff,3d pie,,,,,,,,comedy
F2.large.jpg,comparison,2,sens/spec,yes,no,none,direct,yes,"mislabling, confusing"
m_joc05159f3.png,description,2,sens/spec,yes,no,direct label,legend,no,decent example
nihms-311398-f0001.jpg,comparison,2,fpr/tpr,no,no,none,direct,no,
nihms109214f2.jpg,comparison,4,sens/spec,yes,yes,none,legend,yes,
nihms109214f4.gif,comparison,4,sens/spec,yes,yes,none,legend,yes,
nihms143287f1.gif,comparison,2,sens/spec,yes,no,none,legend,no,
nihms38168f2.jpg,comparison,4,sens/spec,no,no,points,legend,yes,
nihms38168f3.gif,description,1,sens/spec,no,no,points,legend,yes,minimalist
nihms73151f2.gif,comparison,3,sens/spec,yes,no,points,legend,yes,
ovidweb.jpeg,comparison,2,sens/spec,yes,no,points,legend,yes,floating p value
pape1.png,description,2,sens/spec,yes,yes,none,legend,yes,
pape1b.png,comparison,3,sens/spec,yes,yes,points,legend,yes,
pape2.png,description,2,sens/spec,no,no,none,legend,yes,non-paired comparison
pape3.png,comparison,2,mixed,yes,no,none,legend,no,mixed axes labels
r06jn10g02x.gif,comparison,7,sens/spec,no,no,none,legend,yes,
r06jn10g03x.gif,comparison,2,sens/spec,no,no,none,legend,yes,
r09ap32l02x.gif,comparison,2,sens/spec,no,no,none,legend,no,
r09ap32l03x.gif,description,1,sens/spec,no,no,none,none,no,bootstraped curves for CI
tfig002.gif,comparison,3,fpr/tpr,no,no,none,legend,no,
tfig003.gif,description,1,sens/spec,yes,no,none,legend,yes,
